,index,product,category,sub_category,brand,sale_price,market_price,type,rating,description
4,5,Creme Soft Soap - For Hands & Body,Beauty & Hygiene,Bath & Hand Wash,Nivea,162.0,162.0,Bathing Bars & Soaps,4.4,"Nivea Creme Soft Soap gives your skin the best care that it must get. The soft bar consists of Vitamins F and Almonds which are really skin gracious and help you get great skin. It provides the skin with moisture and leaves behind flawless and smooth skin. It makes sure that your body is totally free of germs & dirt and at the same time well nourished.For Beauty tips, tricks & more visit https://bigbasket.blog/"
41,42,Lemon & Tea Tree Oil Soap,Beauty & Hygiene,Bath & Hand Wash,Liril,360.0,360.0,Bathing Bars & Soaps,4.2,"The new Liril soap, with its active ingredients like tea tree oil and lemon extract, gives you a freshness that lasts longer. The soap gives you a fragrance which not only lasts the whole day long as well as keeps your skin healthy. This soap ensures that your skin gets the best care and stays fresh. At the very same time, this soap also ensures that not only your skin retains its natural moisture but also maintains its oil balance. The lemon and tea tree oil ingredients in this soap give you a thick lather which lends a sense of freshness after every shower and makes bathing an enjoyable experience. The fragrance with cues of Lemon provides an invigorating shower experience. This soap has been consistent in bringing alive freshness. This soap also lasts for a long time and is a great choice for a daily refreshing shower! Buy the new Liril Soap in a 125-gm bar now, right here! With active ingredients, the Liril Lime Soap gives you freshness that lasts all day long. The lemon and tea tree oil ingredients in this soap give you instant freshness after every shower. Buy the Liril Lime Soap in a 125-gm bar, right here!"
77,78,& Moms Bathing Soap - Jasmine,Beauty & Hygiene,Bath & Hand Wash,Dettol,108.0,120.0,Bathing Bars & Soaps,4.6,"Your trusted Dettol offers a new range of Dettol Co-Created with Moms beauty bathing soaps. It is made by ingredients approved by moms and with minimal chemicals. This new range is free from parabens, harsh chemical residues, artificial dyes, and talc; it has fragrance infused with 100% natural jasmine essence. It gives 10 times better protection than any ordinary soap and is gentle on skin. Reassuringly, Dettol protects from a wide range of illness-causing germs and bacteria to help you stay healthy."
88,89,Bathing Soap - Sandal & Turmeric,Beauty & Hygiene,Bath & Hand Wash,Godrej No.1,254.15,299.0,Bathing Bars & Soaps,4.2,"Favoured by over 380 million consumers, Godrej No.1 offers you 'nature's way to beauty' with carefully chosen natural ingredients to make your skin naturally beautiful. It is Grade 1 quality soap and the highest-selling soap of its kind in the country. Godrej No.1 Sandal and Turmeric soap come with the sweet, balsamic, woody scent of the sandal. It preserves the young nature of your skin giving you a perfect complexion. It protects your skin and gives you a youthful and young look."
163,164,Nomarks - Antimarks Soap For Oily Skin,Beauty & Hygiene,Bath & Hand Wash,Bajaj,40.0,40.0,Bathing Bars & Soaps,4.3,"New Bajaj nomarks soap helps remove excess oil, deep-rooted dirt and provides relief from sunburn, blemishes and acne or pimple problems. It is a natural antiseptic which provides deep pore cleansing. Its key ingredient neem is a miraculous herb which is medicinal in nature and has potent antibacterial and powerful healing properties. Neem effectively prevents and treats itching, rashes, acne and other skin ailments."
176,177,Clear Glycerine Soap - Natural Toning (Tea Tree Oil & Honey),Beauty & Hygiene,Bath & Hand Wash,Medimix,40.0,40.0,Bathing Bars & Soaps,4.3,"Medimix Clear Glycerine-Natural Toning is meant for people with Normal Skin. It helps maintain healthy skin-tone the natural way. It contains the unique and time tested combination of Tea-tree Oil, Honey and Glycerine, which helps keep skin clear, firm and healthy. It makes your skin smile!!!  For Beauty tips, tricks & more visit https://bigbasket.blog/"
177,178,Soap,Beauty & Hygiene,Bath & Hand Wash,Mysore Sandal,430.0,430.0,Bathing Bars & Soaps,5.0,"Mysore Sandal-The Only Soap with Pure, natural Sandalwood Oil, Mysore Sandal Gold-Enriched with pure Sandalwood & Almond Oil and moisturisers, The Soap that comes close to the natural fragrance of Jasmine Flowers, Mysore Rose-The gentle fragrance of roses keeps you close to nature, Mysore Sandal Classic-The Soap with the goodness of Moistuiser and fragrant sandalwood Oil, Mysore Lavender-The Fragrance of Lavender for Freshness all through the day.  For Beauty tips, tricks & more visit https://bigbasket.blog/"
226,227,Lavender & Vanilla Handmade Luxury Soap,Beauty & Hygiene,Bath & Hand Wash,StBotanica,275.0,275.0,Bathing Bars & Soaps,5.0,"This natural soap is loaded with ingredients known for their nourishing and anti-ageing properties. We use only cold-pressed natural oils as they contain more nutrients and antioxidants than the cheaper pressed oils. The nutrient dense oils provide superior nourishment to the skin cells.Lavender & Vanilla Essential Oils: Apart from the sensuous aroma, essential oils offer a number of skin benefits. Lavender oil soothes the skin. It could quickly relieve skin irritation. It has antibacterial and anti-inflammatory properties that help reduce skin breakouts. Its antioxidant constituents fight the signs of skin aging. It helps lighten dark spots and pigmentation and helps even out skin tone. The high antioxidant content of vanilla oil helps in inhibiting free radical-induced cell damage. The reactive oxygen species generated following exposure to environmental pollutants and solar radiation are neutralized by antioxidants.Organic Plant Oil: Natural oils used in the soap are procured from the best organic sources. Virgin coconut oil is richer in skin-friendly fats and nutrients than the ordinary coconut oil. Castor oil is an excellent solvent for impurities. It easily penetrates the skin pores and removes the impurities. Wheat germ oil is the best source of vitamin E. Shea Butter: African shea nut is a source of nourishing butter with numerous skin benefits. It locks moisture into the skin for a longer time. It soothes the skin and protects it from pollutants and sun damage.Aloe Vera: Soothing aloe vera gel helps repair the damaged skin. It is rich in nutrients that boost the skin health. Chemical-Free Natural Soap: Protect your skin from the ravages of chemical-laden cleansers by introducing our natural handmade soap to your daily cleansing routine. Free from sulphates, paraben, silicone, mineral oil and other potentially hazardous chemicals, this soap takes the best care of your skin. Luxury handcrafted soap with amazing natural fragrance. A moisturizing and nourishing soap made with the finest plant-based ingredients."
259,260,Aeda Glycerine Bathing Bar - Natural Green,Beauty & Hygiene,Bath & Hand Wash,K.P. Namboodiris,35.0,35.0,Bathing Bars & Soaps,4.7,"Protect the skin from environmental damages and act as anti-ageing agent.  For Beauty tips, tricks & more visit https://bigbasket.blog/"
267,268,Ayurvedic Soap,Beauty & Hygiene,Bath & Hand Wash,Chandrika ,230.4,288.0,Bathing Bars & Soaps,4.4,"Chandrika has been the beauty secret of millions of women over the world. Today, it is one of the most trusted brands in South India, with its pure ayurvedic ingredients known to cure skin problems and give a clear and flawless skin, naturally. Made with the purest coconut oil and best of ayurvedic herbs, Chandrika is safe and effective."
